indicator,withholding,shap
cost_maintenance,-0.00355,0.0
water_to_cement_ratio,-0.00484,0.0
scm_content,0.0033,0.0
slump,-0.00663,0.0
d_max,-0.01005,0.0
fu_haz,-0.07872,-0.08127
health,0.53308,0.06367
density,0.04454,0.01892
water_to_cement_ratio,-0.01155,-0.01562
fu_incin,-0.00304,-0.00846
b,-0.00394,-0.00681
gwp,0.00448,-0.0055
cost_product,0.01352,0.00438
circ_orig,0.03941,-0.00345
d_max,0.0097,-0.00246
wdp,0.00277,0.0
fwu,0.01825,0.0
fu_recyc,0.02917,0.0
fu_inert,0.00745,0.0
cost_labour,0.0122,0.0
cost_maintenance,0.01095,0.0
compressive_strength,0.02046,0.0
cement_content,0.0162,0.0
scm_content,0.02453,0.0
slump,0.02524,0.0
gwp,0.10405,0.08262
health,0.67217,0.06092
circ_orig,0.00761,0.05596
b,0.00561,0.02178
fu_recyc,0.00712,0.01353
cement_content,-0.00761,-0.01091
wdp,-0.00832,-0.00996
compressive_strength,0.00141,0.00509
fu_haz,0.0028,0.00356
fu_incin,0.00052,0.0019
fwu,-0.00542,0.0
fu_inert,-0.00396,0.0
cost_product,-0.0017,0.0
cost_labour,-0.00154,0.0
cost_maintenance,-0.0017,0.0
water_to_cement_ratio,-0.00445,0.0
scm_content,0.0015,0.0
slump,-0.00188,0.0
density,-0.0029,0.0
d_max,-0.00205,0.0
health,0.72196,0.21509
circ_orig,0.0245,0.01647
density,0.04363,-0.01642
gwp,-0.0105,-0.01007
fu_recyc,0.02148,0.00813
fu_inert,0.00899,0.00761
scm_content,0.01295,0.00538
fu_haz,0.00505,0.00482
cement_content,0.00652,0.00371
compressive_strength,0.02359,0.00309
wdp,0.00642,0.0
fwu,0.00999,0.0
b,0.00964,0.0
fu_incin,0.00347,0.0
cost_product,0.01985,0.0
cost_labour,0.01694,0.0
cost_maintenance,0.01516,0.0
water_to_cement_ratio,0.00442,0.0
slump,0.0085,0.0
d_max,0.00369,0.0
circ_orig,-0.09168,-0.21336
health,0.38463,0.05943
fu_recyc,0.10121,0.05222
compressive_strength,-0.02671,-0.0447
gwp,-0.00928,-0.03991
fu_inert,0.04532,0.03217
wdp,-0.00981,-0.01781
b,0.03492,0.013
scm_content,0.02957,0.0115
fu_haz,0.01105,0.00604
fwu,0.03114,0.0
fu_incin,0.0054,0.0
cost_product,-0.0008,0.0
cost_labour,0.0016,0.0
cost_maintenance,0.00213,0.0
water_to_cement_ratio,0.01164,0.0
cement_content,0.0187,0.0
slump,0.01487,0.0
density,0.00993,0.0
d_max,-0.00755,0.0
circ_orig,0.25607,0.13474
fu_recyc,-0.00983,-0.04418
scm_content,0.00552,0.011
fu_haz,0.00381,0.00736
water_to_cement_ratio,0.00317,0.00719
fu_inert,-0.00933,-0.00705
health,0.42694,-0.00499
fu_incin,-0.00495,-0.00489
b,0.00691,0.0046
fwu,0.00348,0.00353
gwp,0.01498,0.0
wdp,0.00063,0.0
cost_product,0.00821,0.0
cost_labour,0.00511,0.0
cost_maintenance,0.00516,0.0
compressive_strength,0.00521,0.0
cement_content,0.0001,0.0
slump,0.00097,0.0
density,0.0011,0.0
d_max,-0.00262,0.0
health,0.54801,0.1188
gwp,0.02426,0.02412
cement_content,-0.00827,-0.0151
b,0.03259,0.0127
water_to_cement_ratio,-0.00728,-0.01175
cost_product,-0.00439,0.01127
circ_orig,0.05608,0.01018
compressive_strength,0.06531,0.00958
slump,0.06335,0.00786
fu_haz,0.00243,0.00416
wdp,-0.01508,0.0
fwu,-0.00319,0.0
fu_recyc,0.0442,0.0
fu_incin,0.00292,0.0
fu_inert,-0.00347,0.0
cost_labour,-0.00305,0.0
cost_maintenance,0.00408,0.0
scm_content,0.02891,0.0
density,0.02461,0.0
d_max,0.01225,0.0
health,0.54358,0.14519
compressive_strength,-0.01736,-0.03825
gwp,-0.00922,-0.02827
d_max,0.01399,-0.01512
b,0.0068,-0.01315
cost_product,0.01373,0.01016
circ_orig,-0.01196,-0.00969
scm_content,0.0202,0.00786
slump,0.04797,0.00582
cost_labour,0.00626,-0.00479
wdp,0.00823,0.0
fwu,0.00892,0.0
fu_recyc,0.029,0.0
fu_incin,0.00464,0.0
fu_inert,-0.00079,0.0
fu_haz,0.0078,0.0
cost_maintenance,0.00881,0.0
water_to_cement_ratio,0.00904,0.0
cement_content,0.02111,0.0
density,0.01405,0.0
health,0.60136,0.08828
density,0.07633,0.05878
gwp,0.02384,0.03691
wdp,-0.02897,-0.02743
b,0.01637,0.01946
circ_orig,0.0264,0.01779
compressive_strength,-0.00109,-0.01205
scm_content,0.00412,0.00656
fu_haz,0.00759,0.0045
cost_maintenance,0.0155,0.0037
fwu,0.01452,0.0
fu_recyc,0.00678,0.0
fu_incin,0.00465,0.0
fu_inert,0.00806,0.0
cost_product,0.02246,0.0
cost_labour,0.01438,0.0
water_to_cement_ratio,0.01134,0.0
cement_content,0.00169,0.0
slump,-0.00146,0.0
d_max,-0.00132,0.0
health,0.46661,0.06586
fu_haz,-0.0609,-0.05249
fu_recyc,-0.02841,-0.04443
b,0.02335,0.03047
compressive_strength,-0.03219,-0.02262
gwp,0.00196,0.018
circ_orig,0.02078,0.01329
fu_inert,-0.00911,-0.01181
water_to_cement_ratio,0.00711,0.00955
cement_content,0.01151,0.00864
wdp,0.00712,0.0
fwu,0.01174,0.0
fu_incin,0.00231,0.0
cost_product,-0.00746,0.0
cost_labour,-0.00672,0.0
cost_maintenance,-0.00648,0.0
scm_content,-0.01221,0.0
slump,0.00012,0.0
density,0.00705,0.0
d_max,0.00766,0.0
health,-0.21961,-0.63714
slump,-0.00504,-0.02826
gwp,0.00289,0.01583
circ_orig,-0.00488,-0.01422
cost_product,0.0026,0.01398
b,0.00253,0.01303
fu_recyc,-0.00446,-0.01275
water_to_cement_ratio,0.00016,0.00934
cement_content,-0.00363,-0.00667
compressive_strength,-0.00075,0.00611
wdp,0.0004,0.0
fwu,-0.00242,0.0
fu_incin,-0.00042,0.0
fu_inert,-0.00199,0.0
fu_haz,-0.00214,0.0
cost_labour,0.00131,0.0
cost_maintenance,0.00101,0.0
scm_content,0.0006,0.0
density,-0.00092,0.0
d_max,0.00132,0.0
health,-0.09845,-0.52728
gwp,-0.00156,-0.0129
circ_orig,0.00189,0.00511
b,0.00032,-0.00386
wdp,0.00081,0.00256
fu_haz,0.0004,0.00243
compressive_strength,0.00197,0.00241
scm_content,0.00061,-0.00175
fu_inert,-3e-05,0.00128
fu_recyc,0.00153,0.0011
fwu,-0.00019,0.0
fu_incin,0.00018,0.0
cost_product,0.0006,0.0
cost_labour,0.0009,0.0
cost_maintenance,0.00057,0.0
water_to_cement_ratio,0.00019,0.0
cement_content,-0.00012,0.0
slump,0.00079,0.0
density,0.00128,0.0
d_max,0.00093,0.0
health,-0.08672,-0.52082
circ_orig,-0.03159,-0.09336
b,-0.00115,-0.01896
fu_recyc,0.00946,0.01112
water_to_cement_ratio,0.00283,0.0111
d_max,0.00188,0.00815
fwu,0.00354,0.00641
fu_inert,0.00394,0.00576
cement_content,0.00397,0.00555
fu_haz,0.00271,0.0042
gwp,0.00771,0.0
wdp,0.00358,0.0
fu_incin,0.00105,0.0
cost_product,0.00319,0.0
cost_labour,0.0029,0.0
cost_maintenance,0.00218,0.0
compressive_strength,0.00437,0.0
scm_content,0.00115,0.0
slump,-0.00028,0.0
density,0.00154,0.0
health,0.0261,-0.49482
circ_orig,0.01881,0.02851
b,-0.0107,-0.02049
gwp,-0.01883,-0.01609
fu_recyc,0.00772,0.01294
fu_inert,0.00431,0.01283
wdp,-0.013,-0.0118
water_to_cement_ratio,0.00337,0.00766
fwu,-0.00284,0.00318
cost_product,0.00649,0.00199
fu_incin,0.00044,0.0
fu_haz,0.00015,0.0
cost_labour,0.00251,0.0
cost_maintenance,0.00438,0.0
compressive_strength,0.00275,0.0
cement_content,-0.00213,0.0
scm_content,0.00654,0.0
slump,-0.00496,0.0
density,0.00021,0.0
d_max,0.00197,0.0
health,0.3866,-0.21923
circ_orig,0.02399,0.04118
gwp,0.0334,0.03883
fu_recyc,-0.01047,0.03539
fu_inert,-0.01165,0.02012
density,-0.00114,-0.01692
b,0.00339,0.01306
scm_content,0.03701,0.01139
compressive_strength,0.09177,0.00761
fu_incin,0.00066,0.00415
wdp,-0.00742,0.0
fwu,-0.03494,0.0
fu_haz,0.0157,0.0
cost_product,-0.01797,0.0
cost_labour,-0.01172,0.0
cost_maintenance,-0.01154,0.0
water_to_cement_ratio,-0.01221,0.0
cement_content,-0.00967,0.0
slump,0.01435,0.0
d_max,0.00862,0.0
health,0.53643,0.04096
wdp,-0.01661,-0.01998
density,-0.01433,-0.01516
gwp,0.0082,0.01324
water_to_cement_ratio,-0.01648,-0.01143
cost_product,-0.00858,-0.01027
fu_haz,0.00406,0.00599
fu_inert,0.00153,0.00495
compressive_strength,0.01227,0.00409
circ_orig,0.00903,0.00315
fwu,-0.00027,0.0
b,-0.00548,0.0
fu_recyc,0.01414,0.0
fu_incin,0.00196,0.0
cost_labour,0.00644,0.0
cost_maintenance,0.00522,0.0
cement_content,-0.00141,0.0
scm_content,0.01872,0.0
slump,0.01668,0.0
d_max,0.01567,0.0
