condition,indicator,family,importance,direction,signed,alternatives
circular_economy_advocate,acoustic_reduction,performance,0.02666,0.473,0.01262,1080
circular_economy_advocate,surface_mass,performance,0.00675,-0.03,-0.0002,1080
circular_economy_advocate,heat_capacity,performance,0.01068,-0.013,-0.00014,1080
circular_economy_advocate,fire_reaction,health_safety,0.04882,0.562,0.02746,1080
circular_economy_advocate,thickness,performance,0.00568,-0.057,-0.00032,1080
cost_conscious_developer,gwp,environmental_impact,0.01998,-0.644,-0.01288,1067
cost_conscious_developer,wdp,environmental_impact,0.00503,-0.219,-0.0011,732
cost_conscious_developer,fwu,environmental_impact,0.00606,-0.434,-0.00263,795
cost_conscious_developer,circ_orig,circularity,0.00913,0.125,0.00114,1014
cost_conscious_developer,fu_recyc,circularity,0.00688,0.465,0.0032,1032
cost_conscious_developer,fu_incin,circularity,0.00399,-0.339,-0.00135,1078
cost_conscious_developer,fu_inert,circularity,0.00556,-0.605,-0.00336,1026
cost_conscious_developer,fu_haz,circularity,0.01033,-0.41,-0.00424,1076
cost_conscious_developer,cost_product,cost,0.08612,-0.537,-0.04621,1080
cost_conscious_developer,cost_labour,cost,0.06297,-0.426,-0.02685,1080
cost_conscious_developer,cost_maintenance,cost,0.05476,-0.252,-0.0138,1080
cost_conscious_developer,health,health_safety,0.06771,0.61,0.0413,1080
cost_conscious_developer,u_value,performance,0.05101,-0.7,-0.03573,1080
cost_conscious_developer,acoustic_reduction,performance,0.03214,0.347,0.01116,1080
cost_conscious_developer,surface_mass,performance,0.0102,-0.1,-0.00102,1080
cost_conscious_developer,heat_capacity,performance,0.01632,0.099,0.00162,1080
cost_conscious_developer,fire_reaction,health_safety,0.05021,0.376,0.0189,1080
cost_conscious_developer,thickness,performance,0.01051,-0.217,-0.00228,1080
health_safety_focused,gwp,environmental_impact,0.01805,-0.516,-0.00931,1067
health_safety_focused,wdp,environmental_impact,0.00584,-0.379,-0.00221,732
health_safety_focused,fwu,environmental_impact,0.00595,-0.329,-0.00196,795
health_safety_focused,circ_orig,circularity,0.00918,0.079,0.00072,1014
health_safety_focused,fu_recyc,circularity,0.00587,0.482,0.00283,1032
health_safety_focused,fu_incin,circularity,0.00362,-0.216,-0.00078,1078
health_safety_focused,fu_inert,circularity,0.0044,-0.525,-0.00231,1026
health_safety_focused,fu_haz,circularity,0.01141,-0.354,-0.00404,1076
health_safety_focused,cost_product,cost,0.0089,-0.531,-0.00473,1080
health_safety_focused,cost_labour,cost,0.00803,-0.389,-0.00312,1080
health_safety_focused,cost_maintenance,cost,0.00668,-0.227,-0.00152,1080
health_safety_focused,health,health_safety,0.12526,0.87,0.10894,1080
